"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"1","LiveText is a feature what Samsung implemented like 5 yrs back in Galaxy note 4.  WWDC21 /An9SvM3ZcD","2021-06-07 17:23:12",FALSE,0,1,Samsung Galaxy,Delhi,India,FALSE
"2","My Samsung j5 phone is not able to connect with wifi most of the time it's very annoying and irratating thing one c /fPOQDMGxeO","2021-06-07 17:07:57",FALSE,0,-1,Samsung Galaxy,Delhi,India,FALSE
"3","Upcoming new smartphone Samsung galaxy M21 Samsung SamsungGalaxy samsungm21 Galaxy poonamtechshop /q7g7PRgpO7","2021-06-07 17:00:52",FALSE,0,0,Samsung Galaxy,Delhi,India,FALSE
"4","RT @mysmartprice: Samsung GalaxyZFold3 Z Flip 3 Could Be Priced 20% Cheaper Than Predecessors: Report  Read here: /QcGZLKALG9","2021-06-07 16:29:06",TRUE,2,1,Samsung Galaxy,Delhi,India,FALSE
"5","RT @that90skid01: Check out the long term review of Samsung Galaxy S20FE 5G after 30 days of rigorous testing. With all pros and cons. Watc","2021-06-07 16:27:08",TRUE,1,0,Samsung Galaxy,Delhi,India,FALSE
"6","Leaked Samsung Galaxy S21 FE renders reveal the design of the phone /5nK5ZJxaCb","2021-06-07 15:22:01",FALSE,0,0,Samsung Galaxy,Delhi,India,FALSE
"7","Check out the long term review of Samsung Galaxy S20FE 5G after 30 days of rigorous testing. With all pros and cons /trVc4uMPbW","2021-06-07 15:17:23",FALSE,1,0,Samsung Galaxy,Delhi,India,FALSE
"8","RT @mysmartprice: Samsung GalaxyZFold3 Z Flip 3 Could Be Priced 20% Cheaper Than Predecessors: Report  Read here: /QcGZLKALG9","2021-06-07 15:04:34",TRUE,2,1,Samsung Galaxy,Delhi,India,TRUE
"9","Samsung GalaxyZFold3 Z Flip 3 Could Be Priced 20% Cheaper Than Predecessors: Report  Read here: /8KvGKFpAGr","2021-06-07 15:00:01",FALSE,2,1,Samsung Galaxy,Delhi,India,FALSE
"10","RT @SKDitta: Deal of the day: Samsung Galaxy M42 5G (Prism Dot Black 6GB RAM 128GB Storage)  Android 11 operating system with Qualcomm","2021-06-07 14:53:35",TRUE,1,0,Samsung Galaxy,Delhi,India,FALSE
"11","Samsung Galaxy S22 won't be getting an under-display selfie camera  Samsung SamsungS22 /Y5vi8JqSYP","2021-06-07 13:48:03",FALSE,0,0,Samsung Galaxy,Delhi,India,FALSE
