"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"1","RT @MYSTIC7: EARLY MOBILE MONDAYS TOURNEY Battling with the Mobile Heroes! Sponsored by Samsung Galaxy AD /KCKuelDM7n https:/","2021-06-07 17:20:06",TRUE,2,0,Samsung Galaxy,LA,USA,FALSE
"2","What is the best Android phone right now (cost doesn't matter)?  I've had Google pixel last few years which I've li /RnRLCDNOQw","2021-06-07 17:12:28",FALSE,0,2,Samsung Galaxy,LA,USA,FALSE
"3","RT @MYSTIC7: EARLY MOBILE MONDAYS TOURNEY Battling with the Mobile Heroes! Sponsored by Samsung Galaxy AD /KCKuelDM7n https:/","2021-06-07 17:05:00",TRUE,2,0,Samsung Galaxy,LA,USA,TRUE
"4","EARLY MOBILE MONDAYS TOURNEY Battling with the Mobile Heroes! Sponsored by Samsung Galaxy AD /jhtrZQ06sY","2021-06-07 17:04:29",FALSE,2,0,Samsung Galaxy,LA,USA,FALSE
"5","RT @Androidheadline: Samsung To Position Galaxy S21 FE As A Replacement For The 'Note' /r5wfjYEfg8 android","2021-06-07 17:03:00",TRUE,2,0,Samsung Galaxy,LA,USA,FALSE
"6","Galaxy S22 May Come Without Under-Display Camera After All /RmQB0kiqhE android","2021-06-07 17:00:48",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"7","RT @FrecoWang: Yes here are 18pcs Samsung Galaxy S21 Ultra 5G for this giveaway 13pcs Phantom Black and 5pcs Phantom Silver. Ok enter it","2021-06-07 16:50:12",TRUE,196,0,Samsung Galaxy,LA,USA,FALSE
"8","RT @Androidheadline: Samsung Galaxy Z Flip 3 Color Options Have Leaked Online /ElEsBlK0k0 android","2021-06-07 16:37:07",TRUE,1,0,Samsung Galaxy,LA,USA,FALSE
"9","Samsung Galaxy Z Flip 3 Color Options Have Leaked Online /ElEsBlK0k0 android","2021-06-07 16:30:08",FALSE,1,0,Samsung Galaxy,LA,USA,FALSE
"10","Galaxy Z Fold 3 UPC Camera Is Really Good But It Has One Problem: Tip /OnZMnNhKgr android","2021-06-07 15:30:09",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"11","Report: Samsung Galaxy S21 FE could be much cheaper than S20 FE - Android Authority /wt8b9RdFhI","2021-06-07 13:03:37",FALSE,0,1,Samsung Galaxy,LA,USA,FALSE
"12","RT @Androidheadline: It seems like the Galaxy S22 series won't feature an under-display camera after all.  @Mr","2021-06-07 12:40:51",TRUE,1,1,Samsung Galaxy,LA,USA,FALSE
"13","It seems like the Galaxy S22 series won't feature an under-display camera after all. /KKLpD9yvBy","2021-06-07 12:37:25",FALSE,1,1,Samsung Galaxy,LA,USA,FALSE
"14","RT @GregglesTV: The Samsung Galaxy Z Fold 3 Under Panel Camera will not be as see through as we thought. (@UniverseIce / @DSCCRoss)  Video","2021-06-07 12:34:02",TRUE,3,0,Samsung Galaxy,LA,USA,FALSE
"15","If you're wondering what color options will the Galaxy Z Flip 3 be available in here you go  /uzLyrJdijr","2021-06-07 12:25:57",FALSE,1,1,Samsung Galaxy,LA,USA,FALSE
"16","Verizon Deals: Flawless Samsung Galaxy A51 SM-A515U - 128GB - Prism Crush Black Verizon /V9IMx1y6Xd","2021-06-07 12:17:03",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"17","If there's any truth to the latest report Samsung's upcoming foldabes will be A LOT cheaper. /VL2JnQyt4M","2021-06-07 12:15:12",FALSE,1,1,Samsung Galaxy,LA,USA,FALSE
"18","Upcoming Galaxy S21 FE Appears In Four Color Variants /I93AXfHCmb android","2021-06-07 12:10:01",FALSE,0,0,Samsung Galaxy,LA,USA,FALSE
"19","RT @Androidheadline: It's a problem that kind of defeats the purpose of having an under-display camera. We'll see if there's any truth to t","2021-06-07 12:08:45",TRUE,1,1,Samsung Galaxy,LA,USA,FALSE
"20","It's a problem that kind of defeats the purpose of having an under-display camera. We'll see if there's any truth t /Rls3c5jaeh","2021-06-07 12:05:35",FALSE,1,1,Samsung Galaxy,LA,USA,FALSE
"21","RT @Androidheadline: The Galaxy S21 FE appeared in four color variants   @MrKrisWhyNot   Samsung GalaxyS21F","2021-06-07 11:08:02",TRUE,1,0,Samsung Galaxy,LA,USA,FALSE
