"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"1","Cant wait for the new iPhone Samsung Galaxy iOS running stove top beast of a phone ","2021-06-07 17:23:37",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"2","RT @Adweek: The cardboard Small World from @EdelmanPR was designed by paper artist AJ Smith (the Papersmith) using product packaging from","2021-06-07 16:57:16",TRUE,4,0,Samsung Galaxy,NYC,USA,FALSE
"3","@omermeroz @Vasu96646025 Its still avail on Samsung site. That's where I got mine. /im5CnZ0ALU","2021-06-07 16:50:20",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"4","RT @Adweek: The cardboard Small World from @EdelmanPR was designed by paper artist AJ Smith (the Papersmith) using product packaging from","2021-06-07 15:34:46",TRUE,4,0,Samsung Galaxy,NYC,USA,TRUE
"5"," $108.97  SAMSUNG Galaxy Watch 42mm SMR810NZKAXAR Bluetooth  Black Renewed @iotcybersec24   SAMSUNG Galaxy /jB4V2CFpFz","2021-06-07 15:24:39",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"6","Samsung Galaxy C10 Smartphone Price Release Date And Full Phone Specifications.  Samsung Samsung /SQbPi1jJpX","2021-06-07 14:58:24",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"7","@dawgster1969 What type of phone case is that? Looks cool. Is that a Samsung Galaxy S21?","2021-06-07 14:17:27",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"8","Would you buy the Z Flip 3 in any of these four hues? /H2fbGSqS1j","2021-06-07 14:15:04",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"9"," $211.21  SAMSUNG Galaxy Watch Active 2 40mm GPS Bluetooth Smart Watch with Advanced @iotcybersec24   SAMSUNG /85PfqWPIX1","2021-06-07 14:03:02",FALSE,0,2,Samsung Galaxy,NYC,USA,FALSE
"10","Looks like the Samsung Galaxy S22 might not be getting this feature after all: /cBp68PH7Fm","2021-06-07 13:53:08",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"11","RT @Adweek: The cardboard Small World from @EdelmanPR was designed by paper artist AJ Smith (the Papersmith) using product packaging from","2021-06-07 13:06:29",TRUE,4,0,Samsung Galaxy,NYC,USA,TRUE
"12","RT @Adweek: The cardboard Small World from @EdelmanPR was designed by paper artist AJ Smith (the Papersmith) using product packaging from","2021-06-07 13:05:03",TRUE,4,0,Samsung Galaxy,NYC,USA,TRUE
"13","The cardboard Small World from @EdelmanPR was designed by paper artist AJ Smith (the Papersmith) using product pa /wGk3l1ZoX0","2021-06-07 13:01:20",FALSE,4,0,Samsung Galaxy,NYC,USA,FALSE
"14","Galaxy S10 - Detailed Specifications Pros Cons &amp; Price.  Technology  /5N4h7gqiWO","2021-06-07 12:55:41",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"15","RT @BGR: Trusted leaker details Samsungs revolutionary Fold 3 upgrade /MCIAyFNMnE","2021-06-07 12:10:41",TRUE,2,2,Samsung Galaxy,NYC,USA,FALSE
"16","Samsung Galaxy S5 | Price Specifications Features.  Mobile Mobile News News  /VdR2yUiAc8","2021-06-07 12:02:03",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"17","Samsung Galaxy S8 Rumors  Specifications and Extra Features.  Mobile Mobile News News  /KRp36GI33F","2021-06-07 11:56:52",FALSE,0,-1,Samsung Galaxy,NYC,USA,FALSE
"18","RT @BGR: Trusted leaker details Samsungs revolutionary Fold 3 upgrade /MCIAyFNMnE","2021-06-07 11:33:36",TRUE,2,2,Samsung Galaxy,NYC,USA,TRUE
"19","Trusted leaker details Samsungs revolutionary Fold 3 upgrade /MCIAyFNMnE","2021-06-07 11:33:04",FALSE,2,2,Samsung Galaxy,NYC,USA,FALSE
"20","Samsung Galaxy Book Pro 360: A New Groundbreaking Samsung Device?  Samsungs laptop game is improving. The company /8kVGOkIGjW","2021-06-07 11:20:37",FALSE,0,2,Samsung Galaxy,NYC,USA,FALSE
"21","RT @DTPORGE: STOP South Korean dog/cat meat industry!!!  dogmeat catmeat animalcruelty SouthKorea Korea  Samsung Hyundai LG","2021-06-07 10:14:05",TRUE,1,0,Samsung Galaxy,NYC,USA,FALSE
"22","Samsung is dumping. Flexible smartphones Galaxy Z Fold3 and Galaxy Z Flip3 will be much cheaper than theirpredeces /ifnytGQPK7","2021-06-07 10:03:50",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"23","Samsung Galaxy A52 5G Garmin Forerunner 55 and Google Pixel Buds A international giveaway @androidauth giveaway /wKJ3bHizsy","2021-06-07 09:41:05",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"24","STOP South Korean dog/cat meat industry!!!  dogmeat catmeat animalcruelty SouthKorea Korea  Samsung /S5HFASUDxV","2021-06-07 09:35:52",FALSE,1,0,Samsung Galaxy,NYC,USA,FALSE
"25","The final color options for the Samsung Galaxy Z Flip3 are light purple black and green andbeige /BTDu748dwE","2021-06-07 08:46:54",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"26","Revealed another secret of smart watches Samsung Galaxy Watch4. The capacity of the battery has becomeknown /fVhtMapRZb","2021-06-07 08:35:46",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"27","Samsung Galaxy Tab 7S PLUS  with Streamyard /V7knIu46h2 via @YouTube  Streamyard SamsungGalaxy   PencilSketch Tab7SPlus","2021-06-07 08:17:27",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"28","Samsung Galaxy S22 still wont get a sub-screen front camera due to poor imagequality /8fTVWgeDYM","2021-06-07 07:29:52",FALSE,0,-1,Samsung Galaxy,NYC,USA,FALSE
"29","Samsung Galaxy S10 Series Galaxy S20 FE Galaxy A52 Getting June 2021 Android Security Patch: Reports /Di5CSKHyvw","2021-06-07 07:15:26",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"30","Samsung Galaxy S21 FE Price Tipped Could Be Cheaper Than Galaxy S20 FE; Renders Show Colours Design /wfM1WZPyJG","2021-06-07 07:15:25",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"31","Samsung Galaxy M21 Prime Edition India Launch Imminent as Details Appear on Companys Site /0gytnVWGCf","2021-06-07 07:15:17",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"32","Samsung Galaxy Trend Plus S7580 Specifications.  Mobile Mobile News News  /DKeRIwsWuI","2021-06-07 06:08:03",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"33","Walmart to Give 740000 Free Samsung Galaxy XCover Pro to Its Associates /miiKUwPJba","2021-06-07 05:30:32",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"34","Btw this phone is a Samsung Galaxy A20  I am apparently going to get a LG V30+ /usrZYABVnE","2021-06-07 05:23:08",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"35","@NanoPolymath @New_Legal_ @Wolf23169 Most devices are either Apple or Samsung Galaxy","2021-06-07 03:06:49",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"36","@NanoPolymath @New_Legal_ @Wolf23169 Samsung Galaxy devices is 46% of the smartphone market with Apple controlling a little bit more","2021-06-07 03:05:35",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"37","@New_Legal_ @NanoPolymath @Wolf23169 This is all galaxy devices which is all Samsung's phones and tablets and they /CO9iFLIm0P","2021-06-07 03:01:38",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"38","@NanoPolymath @New_Legal_ @Wolf23169 Its a Samsung app providing data from all Samsung Galaxy devices worldwide /k3oTwF9x72","2021-06-07 02:53:16",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"39","Samsung Galaxy C7 - Price Specifications Features.  Mobile Mobile News News  /0r6apZqWcC","2021-06-07 02:42:35",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"40","Sweet mainstream acceptance Batman! The Samsung Blockchain Wallet is essentially a default app on @SamsungMobile ph /ijOnpS8YIP","2021-06-07 02:32:03",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"41","Samsung Galaxy A90 5G Price And Full Phone Specifications.  Mobile Mobile News News  /HT52mshyW5","2021-06-07 01:46:50",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"42","Samsung Galaxy S10 or Samsung Galaxy X: Price Leaks And Rumors.  Mobile Mobile News News /CP5sMP08Ve","2021-06-07 01:29:48",FALSE,0,-2,Samsung Galaxy,NYC,USA,FALSE
"43","Samsung Galaxy J9 | Price Release Date and Specification 2019.  Samsung Samsung  /G1L2AJBYV0","2021-06-07 01:07:32",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"44","Samsung Galaxy S8 | Price Reviews &amp; Specs.  Mobile Mobile News News  /j4C5P8Pqw2","2021-06-07 00:06:33",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"45","Samsung Galaxy A52 5G Garmin Forerunner 55 and Google Pixel Buds A international giveaway @androidauth giveaway /jTEUcoKJu8","2021-06-06 23:35:11",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"46","RT @SamsungSupport: Everyone say ""Hello"" to the GalaxyTabS7FE &amp; the GalaxyTabA7Lite! Let's take a deeper look at the two newest members o","2021-06-06 22:03:48",TRUE,1,0,Samsung Galaxy,NYC,USA,FALSE
