"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"1","RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev","2021-06-07 17:26:45",TRUE,1,1,Apple iPhone,LA,USA,FALSE
"2","Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart /jkEYT3UzMN","2021-06-07 17:26:06",FALSE,1,1,Apple iPhone,LA,USA,FALSE
"3","RT @thisistechtoday: Ohhhh Facetime links that work outside of the Apple ecosystem.   Now some of the reasons why I've been using an iPhon","2021-06-07 17:20:41",TRUE,1,1,Apple iPhone,LA,USA,FALSE
"4","Bravo @apple apple wwdc creating an amazing conference experience for the big screen! Bring on the magic! ios /13dQ36zwl9","2021-06-07 17:13:54",FALSE,0,3,Apple iPhone,LA,USA,FALSE
"5","You can now share your screen share your song or video through FaceTime and include your friends that do not have /v9TZzejpjJ","2021-06-07 17:12:01",FALSE,0,0,Apple iPhone,LA,USA,FALSE
"6","Ohhhh Facetime links that work outside of the Apple ecosystem.   Now some of the reasons why I've been using an iP /AA8rfb895G","2021-06-07 17:11:31",FALSE,1,1,Apple iPhone,LA,USA,FALSE
"7","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 17:08:54",TRUE,132,0,Apple iPhone,LA,USA,FALSE
"8","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 17:07:54",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"9","RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear","2021-06-07 17:05:31",TRUE,1086,4,Apple iPhone,LA,USA,FALSE
"10","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 17:03:49",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"11","Apple Agrees Multimillion Dollar Settlement After iPhone Repair Technicians Post Customer's Private... - MacRumors /OCDTmFLq7q","2021-06-07 17:03:37",FALSE,0,0,Apple iPhone,LA,USA,FALSE
"12","RT @Scottydt1d: Curiosity Are you an iPhone or Android user? What is your reason?  I am Android because I am apple prejudice and you can","2021-06-07 17:03:28",TRUE,2,-1,Apple iPhone,LA,USA,FALSE
"13","Apple looks set for a major upgrade on its 2022 iPhones on a spec that's been untouched since 2014. Does this make /CuRx4iRYo9","2021-06-07 17:02:49",FALSE,0,-1,Apple iPhone,LA,USA,FALSE
"14","Automation is the future of work checkout how engineered systems are improving the workplace! /PZkyCOWmHt","2021-06-07 17:01:03",FALSE,0,2,Apple iPhone,LA,USA,FALSE
"15","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 17:00:22",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"16","RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear","2021-06-07 16:59:52",TRUE,1086,4,Apple iPhone,LA,USA,TRUE
"17","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:59:46",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"18","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:59:44",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"19","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:58:13",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"20","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:56:38",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"21","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:55:57",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"22","Capture the joy of every day life  Apple iPhoneXS GoTalk Unlocked Refurbished New Shop Now  /OTKH8nc8T9","2021-06-07 16:52:52",FALSE,0,1,Apple iPhone,LA,USA,FALSE
"23","RT @Scottydt1d: Curiosity Are you an iPhone or Android user? What is your reason?  I am Android because I am apple prejudice and you can","2021-06-07 16:32:59",TRUE,2,-1,Apple iPhone,LA,USA,TRUE
"24","Apple pays out millions in compensation to student after iPhone repair facility shared her explicit personal images /BQetsChBKS","2021-06-07 16:20:48",FALSE,0,0,Apple iPhone,LA,USA,FALSE
"25","Curiosity Are you an iPhone or Android user? What is your reason?  I am Android because I am apple prejudice and /s0EsSk9iMR","2021-06-07 16:19:50",FALSE,2,-1,Apple iPhone,LA,USA,FALSE
"26","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 16:19:47",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"27","RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear","2021-06-07 16:17:58",TRUE,1086,4,Apple iPhone,LA,USA,TRUE
"28","Apple's WWDC Meeting Caps a Tense Year for Company Developers  The annual conference for software developers is n /IBTtlJsAJj","2021-06-07 16:14:21",FALSE,0,-1,Apple iPhone,LA,USA,FALSE
"29","Apple's WWDC Meeting Caps a Tense Year for Company Developers  The annual conference for software developers is n /LG584hXGLx","2021-06-07 16:14:20",FALSE,0,-1,Apple iPhone,LA,USA,FALSE
"30","RT @theapplehub: These are the devices expected to support iOS 15. Apple is expected to drop support for the iPhone 6s iPhone 6s Plus and","2021-06-07 16:06:21",TRUE,293,2,Apple iPhone,LA,USA,FALSE
"31","RT @theapplehub: These are the devices expected to support iOS 15. Apple is expected to drop support for the iPhone 6s iPhone 6s Plus and","2021-06-07 15:59:01",TRUE,293,2,Apple iPhone,LA,USA,TRUE
"32","RT @kwiens: Apple: Only we are qualified to repair your iPhone. Independent repair will undermine our security model.   Also Apple: our dep","2021-06-07 15:57:11",TRUE,132,0,Apple iPhone,LA,USA,TRUE
"33","RT @theapplehub: These are the devices expected to support iOS 15. Apple is expected to drop support for the iPhone 6s iPhone 6s Plus and","2021-06-07 15:56:21",TRUE,293,2,Apple iPhone,LA,USA,TRUE
"34","hoard hate move: Fuck with your iPhone camera ability to do its advanced image stabilization functions. Even in th /zcUxFSgoNT","2021-06-07 15:53:10",FALSE,0,-2,Apple iPhone,LA,USA,FALSE
