"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"1","Apple will allow iPhone users to better customize how they want to be notified about incoming calls texts or updat /TUdwPCJRFM","2021-06-07 17:26:41",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"2","Apple paid woman millions after iPhone technicans posted explicit photos online /49GG3NHHk2","2021-06-07 17:22:02",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"3","Saw a few minutes of Apples WWDC. Their presentation style is a lot more dull and sterile compared to their old re /lAVKsUw8om","2021-06-07 17:20:55",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"4","RT @MaxWinebach: @jon_prosser Dude I got a random email saying Apple would rename iOS to iPhone OS and the iPhone to Apple Phone and I didn","2021-06-07 17:19:19",TRUE,92,0,Apple iPhone,NYC,USA,FALSE
"5","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 17:17:38",TRUE,28,0,Apple iPhone,NYC,USA,FALSE
"6","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 17:16:45",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"7","Apple Announces iOS 15: First Look at New Features /nTnMKnCMCN","2021-06-07 17:15:35",FALSE,4,0,Apple iPhone,NYC,USA,FALSE
"8","iOS15 software is official and coming soon with a variety of enhancements and new features for the Apple iPhone. /bDGMjoFBaa","2021-06-07 17:13:33",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"9","I know Apple doesnt have my best interests in mind because every time I go to send a friend a pic my iphone recommends that I text my ex","2021-06-07 17:11:03",FALSE,0,2,Apple iPhone,NYC,USA,FALSE
"10","Live: Apple WWDC 2021. The Big iPhone iPad &amp; Mac Software Reveal As It Happens - Forbes /MpZYDzsTMT","2021-06-07 17:09:51",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"11","NOW AIRING:  Sheryl Underwood Radio from 1pm  3pm EST  Download The New WREE-DB/ AM 1620 App &amp; Take Us wherever yo /njHs0XNTry","2021-06-07 17:01:51",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"12","@OfficiallyIce U hype cause the gon add shadows to the icons? Lol apple users so goofy *tweets from iphone*","2021-06-07 17:00:54",FALSE,0,-2,Apple iPhone,NYC,USA,FALSE
"13","RT @MaxWinebach: Imagine if Apple announces and MVNO today using T-Mobile and Verizon's networks for like $50 iPhone only and syncs with","2021-06-07 17:00:34",TRUE,6,1,Apple iPhone,NYC,USA,FALSE
"14","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 17:00:11",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"15","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:56:01",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"16","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:55:00",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"17","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:54:32",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"18","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:51:51",TRUE,8,0,Apple iPhone,NYC,USA,FALSE
"19","RT @BGR: This is the biggest reason iPhone users switch from Apple to Android /mfnVlIEUhY","2021-06-07 16:51:48",TRUE,1,0,Apple iPhone,NYC,USA,FALSE
"20","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:51:36",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"21","I never see android have to do this. Wonder why? Harder to sell inferior products???  dont worry this NEW iPhone /ALbPvxyi7o","2021-06-07 16:51:35",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"22","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:50:57",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"23","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:50:44",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"24","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:43:52",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"25","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:43:52",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"26","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:42:14",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"27","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:36:48",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"28","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:33:57",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"29","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:33:10",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"30","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:32:49",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"31","RT @CNBC: Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:31:35",TRUE,8,0,Apple iPhone,NYC,USA,TRUE
"32","Apple is about to announce new iPhone software and more  follow along for live updates /sF5RGvyN9C","2021-06-07 16:31:14",FALSE,8,0,Apple iPhone,NYC,USA,FALSE
"33","This is the biggest reason iPhone users switch from Apple to Android /XBBhcwFxdm","2021-06-07 16:27:36",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"34","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:25:10",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"35","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:23:00",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"36","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:22:21",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"37","RT @chrishlad: Then Koum got lucky.  In June 2008 Apple unveiled push notifications for iPhone apps.  Koum added 1 feature to WhatsApp:","2021-06-07 16:21:14",TRUE,13,1,Apple iPhone,NYC,USA,FALSE
"38","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:21:01",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"39","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:20:47",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"40","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:46",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"41","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:18",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"42","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:11",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"43","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:09",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"44","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:08",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"45","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:18:01",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"46","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:17:58",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"47","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:17:52",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"48","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:17:46",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"49","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:16:44",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"50","RT @verge: Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /3","2021-06-07 16:16:35",TRUE,28,0,Apple iPhone,NYC,USA,TRUE
"51","Apple paid millions after iPhone repair techs posted a customers nude photos to Facebook /32DuSjvi7i","2021-06-07 16:16:29",FALSE,28,0,Apple iPhone,NYC,USA,FALSE
"52","@Apple Will the fingerprint option be available for the iPhone 12 model via software???","2021-06-07 16:05:22",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"53","NOW AIRING:  The WREE Lunch Time Mix with DJ Red from 12pm  1pm EST  Download The New WREE-DB/ AM 1620 App &amp; Take /wHVnXaBmjN","2021-06-07 16:02:14",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"54","RT @Forbes: iOS 15 Reveal: Apples iPhone Software To Include Stunning New Privacy Feature /U0za558spi","2021-06-07 16:00:45",TRUE,31,1,Apple iPhone,NYC,USA,FALSE
"55","RT @MaxWinebach: Imagine if Apple announces and MVNO today using T-Mobile and Verizon's networks for like $50 iPhone only and syncs with","2021-06-07 15:59:42",TRUE,6,1,Apple iPhone,NYC,USA,TRUE
"56"," @Apple Argh...updates have turned my iphone 12 pro max into a brick. Can't access settings power button does nada... iPhone12ProMax","2021-06-07 15:45:52",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"57","Dont jailbreak your iPhone if you dont want to be disappointed with Apples trash iOS restrictions.","2021-06-07 15:26:10",FALSE,0,-2,Apple iPhone,NYC,USA,FALSE
"58","Check out Lifeproof Wake Series Case for Apple iPhone 11 Pro 5.8 "" 77-80930 LifeProof /PQDrV966bZ via @eBay","2021-06-07 15:22:59",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"59","RT @chrishlad: Then Koum got lucky.  In June 2008 Apple unveiled push notifications for iPhone apps.  Koum added 1 feature to WhatsApp:","2021-06-07 15:19:59",TRUE,13,1,Apple iPhone,NYC,USA,TRUE
"60","ive got nothing else to do today so i may as well watch wwdc and apple announce a new iphone that will make my cur /xfojBfwsnq","2021-06-07 15:15:54",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"61","Since Apple  is showcasing new software &amp; hopefully new hardware for WWDC21 this afternoon; heres some Apple con /rewErdeIR4","2021-06-07 15:15:20",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"62","RT @JoannaStern: On @CNBCTechCheck in next five talking Apple WWDC the walled garden and why Im not sure well see MacBook Pros today htt","2021-06-07 15:13:59",TRUE,3,2,Apple iPhone,NYC,USA,FALSE
"63","RT @JoannaStern: On @CNBCTechCheck in next five talking Apple WWDC the walled garden and why Im not sure well see MacBook Pros today htt","2021-06-07 15:11:21",TRUE,3,2,Apple iPhone,NYC,USA,TRUE
"64","RT @iamBrianGraham:  Wow! Iphone flip! AI Apple MachineLearning iPhone @diioannid @gvalan @Shi4Tech @CathCervoni @kalydeoo @iamBrianGr","2021-06-07 15:10:45",TRUE,29,1,Apple iPhone,NYC,USA,FALSE
"65","RT @MaxWinebach: Imagine if Apple announces and MVNO today using T-Mobile and Verizon's networks for like $50 iPhone only and syncs with","2021-06-07 15:06:17",TRUE,6,1,Apple iPhone,NYC,USA,TRUE
"66","Apple Updates Leadership Page With Memojis for Execs Ahead of WWDC /pSnNALJbiE","2021-06-07 15:04:35",FALSE,1,0,Apple iPhone,NYC,USA,FALSE
"67","On @CNBCTechCheck in next five talking Apple WWDC the walled garden and why Im not sure well see MacBook Pros to /Sa8ip6anoS","2021-06-07 15:02:38",FALSE,3,2,Apple iPhone,NYC,USA,FALSE
"68","Apple Agrees Multimillion Dollar Settlement After iPhone Repair Technicians Post Customer's Private Photos Online /LAMdJoiFe0","2021-06-07 15:00:10",FALSE,0,0,Apple iPhone,NYC,USA,FALSE
"69","Apple looks set for a major upgrade on its 2022 iPhones on a spec that's been untouched since 2014. Does this make /KWdCmAKdLF","2021-06-07 14:55:28",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"70","Apple looks set for a major upgrade on its 2022 iPhones on a spec that's been untouched since 2014. Does this make /HfEZTPbw0z","2021-06-07 14:55:28",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"71","Apple looks set for a major upgrade on its 2022 iPhones on a spec that's been untouched since 2014. Does this make /4ZRpHZnMN6","2021-06-07 14:55:28",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"72","Apple looks set for a major upgrade on its 2022 iPhones on a spec that's been untouched since 2014. Does this make /fQrvTfN9vn","2021-06-07 14:55:02",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"73","RT @MaxWinebach: Imagine if Apple announces and MVNO today using T-Mobile and Verizon's networks for like $50 iPhone only and syncs with","2021-06-07 14:51:42",TRUE,6,1,Apple iPhone,NYC,USA,TRUE
"74","Being able to unlock my iPhone with a mask on with my Apple Watch is probably my fave thing about my watch.","2021-06-07 14:48:40",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"75","Watch ""Apple authorized repair LEAKS CUSTOMER'S SEX TAPE during iPhone repair"" on YouTube /wGeTNsr0Ej","2021-06-07 14:47:48",FALSE,0,-1,Apple iPhone,NYC,USA,FALSE
"76","RT @JoannaStern: Tomorrow is WWDC. Expect Apple's garden walls to get even higher and the garden itself to get even more beautiful.   https","2021-06-07 14:46:47",TRUE,18,1,Apple iPhone,NYC,USA,FALSE
"77","RT @iamBrianGraham:  Wow! Iphone flip! AI Apple MachineLearning iPhone @diioannid @gvalan @Shi4Tech @CathCervoni @kalydeoo @iamBrianGr","2021-06-07 14:46:47",TRUE,29,1,Apple iPhone,NYC,USA,TRUE
"78","RT @MaxWinebach: Imagine if Apple announces and MVNO today using T-Mobile and Verizon's networks for like $50 iPhone only and syncs with","2021-06-07 14:44:05",TRUE,6,1,Apple iPhone,NYC,USA,TRUE
"79","RT @chrishlad: Then Koum got lucky.  In June 2008 Apple unveiled push notifications for iPhone apps.  Koum added 1 feature to WhatsApp:","2021-06-07 14:43:36",TRUE,13,1,Apple iPhone,NYC,USA,TRUE
"80","RT @Forbes: New warning issued for millions of iPhone 12 users /Eu1UoJJlCv","2021-06-07 14:37:43",TRUE,38,-1,Apple iPhone,NYC,USA,FALSE
"81","RT @Forbes: iOS 15 Reveal: Apples iPhone software to include a stunning new privacy feature /inULArLeAW","2021-06-07 14:35:22",TRUE,28,1,Apple iPhone,NYC,USA,FALSE
